Gene,D0,D5,D10,D15,D20,D25,D45
Ascl1,1.1139166012778836,1.0992989311573382,1.1121109178900257,1.120947959480274,1.0750144011273346,1.1099422195656505,1.390289535594539
Atoh1,1.130949250591638,1.111224553649355,1.162521468791443,1.2001700637318045,1.1362454296338274,1.1796238104647234,1.7186230512947747
CRX,0.9110358910208062,0.9611294227936619,0.9449148684330329,0.957858004923271,0.9475495859811284,0.9565359407937915,1.0328199115280072
CTCF,7.025656074452922,6.854094193203104,6.92943120132169,6.465713942596373,5.685162205282752,6.5566953146659275,5.960337862651487
DLX1,1.1190455651860824,1.1407492107955508,1.301243509155507,1.2961058702552868,1.312503822529772,1.2853578398675856,1.4675214634202962
DLX2,1.1337948692034294,1.156679275333466,1.2927299234353176,1.3016515559005923,1.3128860389457306,1.2804698318771583,1.4695594236695262
Isl1,1.1212327227470353,1.1399807760408762,1.21763952366644,1.2463514897128565,1.2454567772608334,1.2135840856491704,1.3259724594236304
Lhx2,1.1487871871252273,1.1723868845083096,1.3642429753035725,1.3929257641921398,1.3859485671310066,1.3674986936773985,1.6271786691642398
MyoD,1.1879952652785146,1.1925542527635247,1.2167407285494842,1.2680732510378698,1.1740822512442464,1.219227933306377,1.5868288622635602
NeuroD1,1.1628514747983512,1.147881615892023,1.2185741863277524,1.2441870616651631,1.1819846529473317,1.219279323879911,1.8661642780780645
NeuroG2,1.0796407649229658,1.0723602944209987,1.1125521808574967,1.1492682438791046,1.1026966333274344,1.1368787457165472,1.5137013216921706
OCT4-SOX2-TCF-NANOG,2.311854120745427,2.1794544991078255,1.409497529930126,1.3079870915691811,1.1952165056836848,1.162652800583835,1.0314301957280922
Olig2,1.0834614995715965,1.0760125696940397,1.104195278325984,1.122006157381867,1.0989063042768872,1.1095458895136086,1.3832759364238079
Otx2,0.9805778183580761,1.1465203288453083,1.1070679709872966,1.1216963408906537,1.135260738952936,1.1722848585436578,1.35605493133583
PAX6,1.0725075528700907,1.034309470510302,1.5552745664739884,1.419270055552237,1.3397008922960914,1.402168788307402,2.074940437513537
Sox4,1.2949868331220131,1.3322541106819916,1.4980696950628414,1.5445753353212621,1.4547686449382469,1.4277722586058894,1.341842413379396
Sox9,1.2746033340028118,1.2996763997946292,1.4345229220204003,1.486943850330223,1.46688567674113,1.4240751453588132,1.3195166660431707
Zic,1.3058735387768143,1.3370854626737498,1.2160207162155914,1.211548258675112,1.184440082869916,1.2018242983901921,1.3871071669156194
Zic2,1.4006086817235304,1.4284733791313355,1.2443448774832417,1.2452011103892269,1.2111226925792677,1.2288073051452861,1.4798700826526408
Zic3,1.398853827920854,1.4483247914981865,1.2813198509845662,1.2864353350623479,1.2251273093594328,1.259936503812207,1.493692146557337
